epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3764,1.08062,0.60938,0.89684,0.74154,0.52761,0.57481,0.26087,1.7189,0.90686,1.1329,0.000552379,0.000552379,0.000552379
2,57.9332,1.39927,0.77538,0.96797,0.73624,0.53219,0.57736,0.26842,1.73619,0.90856,1.10963,0.00109708,0.00109708,0.00109708
3,86.4383,1.47172,0.82416,0.98589,0.7098,0.47956,0.5099,0.2367,1.78186,0.99033,1.15171,0.00163077,0.00163077,0.00163077
4,114.634,1.51117,0.8613,0.9999,0.70191,0.50873,0.55186,0.24967,1.79763,0.95372,1.14881,0.00161749,0.00161749,0.00161749
5,142.565,1.53548,0.88487,1.00341,0.69539,0.5274,0.56179,0.25512,1.71391,0.89892,1.11784,0.00160099,0.00160099,0.00160099
6,170.399,1.5184,0.8746,1.00802,0.6903,0.50764,0.53561,0.24447,1.71721,0.93718,1.12487,0.00158448,0.00158448,0.00158448
7,198.481,1.50816,0.8581,0.99669,0.70113,0.50229,0.53762,0.24644,1.7309,0.95413,1.10866,0.00156798,0.00156798,0.00156798
8,226.54,1.51227,0.85763,1.00378,0.70137,0.52327,0.55301,0.25368,1.73109,0.90337,1.1175,0.00155148,0.00155148,0.00155148
9,254.257,1.50217,0.85278,0.99578,0.71986,0.49187,0.54361,0.2484,1.7795,0.93219,1.15238,0.00153497,0.00153497,0.00153497
10,282.231,1.4971,0.84459,0.99592,0.66888,0.49016,0.52938,0.23766,1.85416,1.02942,1.14064,0.00151847,0.00151847,0.00151847
11,309.987,1.49022,0.8526,0.99197,0.70449,0.50079,0.54851,0.25127,1.80794,0.91812,1.14283,0.00150197,0.00150197,0.00150197
12,338.195,1.5202,0.86569,1.00091,0.72094,0.50834,0.55431,0.25539,1.72081,0.92514,1.1107,0.00148546,0.00148546,0.00148546
