epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.62,1.13065,0.63263,0.90632,0.74456,0.51892,0.56588,0.26584,1.68141,0.88197,1.13007,0.000552379,0.000552379,0.000552379
2,58.5982,1.39333,0.77505,0.96449,0.72535,0.52243,0.56728,0.26122,1.7202,0.89435,1.1149,0.00109708,0.00109708,0.00109708
3,86.7016,1.47227,0.82938,0.98432,0.71257,0.49504,0.54024,0.2444,1.79584,0.94835,1.11945,0.00163077,0.00163077,0.00163077
4,115.513,1.50137,0.86228,0.99669,0.67956,0.50369,0.53122,0.24186,1.77023,0.97907,1.13591,0.00161749,0.00161749,0.00161749
5,143.725,1.5233,0.878,1.00346,0.74562,0.50614,0.55448,0.25691,1.7162,0.9192,1.1046,0.00160099,0.00160099,0.00160099
6,171.73,1.51721,0.87254,1.0049,0.67098,0.5056,0.52864,0.24076,1.75643,0.93595,1.10789,0.00158448,0.00158448,0.00158448
7,199.828,1.51177,0.86471,0.99567,0.69136,0.48895,0.5277,0.24169,1.72454,0.95637,1.11407,0.00156798,0.00156798,0.00156798
8,227.969,1.49944,0.85579,1.00117,0.7006,0.52169,0.55007,0.24813,1.76808,0.90392,1.13914,0.00155148,0.00155148,0.00155148
9,255.669,1.51629,0.8683,1.0017,0.71752,0.50929,0.55911,0.25872,1.73113,0.91284,1.12303,0.00153497,0.00153497,0.00153497
10,283.575,1.50486,0.85067,0.99813,0.72967,0.50728,0.54345,0.24593,1.77627,0.91305,1.12051,0.00151847,0.00151847,0.00151847
11,311.701,1.47792,0.84703,0.98923,0.71251,0.49316,0.54594,0.25083,1.7573,0.91988,1.12419,0.00150197,0.00150197,0.00150197
