epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1288.46,1.64174,0.96337,1.04358,0.72303,0.49678,0.53876,0.25427,1.70073,0.92246,1.10066,0.000990365,0.000990365,0.000990365
43,1319.11,1.64805,0.96345,1.04364,0.70264,0.50057,0.53894,0.25449,1.72275,0.90948,1.1111,0.000973861,0.000973861,0.000973861
44,1349.91,1.63834,0.96173,1.0407,0.7319,0.48968,0.53602,0.25174,1.72091,0.89775,1.10856,0.000957358,0.000957358,0.000957358
45,1380.73,1.63029,0.95362,1.03347,0.70908,0.50385,0.53758,0.25034,1.75406,0.90617,1.12352,0.000940855,0.000940855,0.000940855
46,1411.34,1.64025,0.96127,1.038,0.70429,0.50283,0.54862,0.2565,1.73146,0.92776,1.09714,0.000924352,0.000924352,0.000924352
47,1441.65,1.60874,0.94311,1.0238,0.69543,0.49927,0.54188,0.25502,1.72118,0.88598,1.10139,0.000907848,0.000907848,0.000907848
48,1472.06,1.60661,0.94209,1.0326,0.69962,0.51206,0.55502,0.25811,1.71344,0.8868,1.10345,0.000891345,0.000891345,0.000891345
49,1502.62,1.59943,0.93184,1.02431,0.68614,0.50945,0.54303,0.25398,1.72126,0.90349,1.1065,0.000874842,0.000874842,0.000874842
50,1533.26,1.59022,0.92059,1.01883,0.69015,0.51587,0.55381,0.25717,1.7064,0.87202,1.10016,0.000858338,0.000858338,0.000858338
51,1563.65,1.58148,0.91098,1.02627,0.71286,0.50398,0.54721,0.26044,1.69404,0.90612,1.09118,0.000841835,0.000841835,0.000841835
52,1594.33,1.57549,0.91845,1.0202,0.70881,0.52408,0.55652,0.26086,1.71426,0.87699,1.10085,0.000825332,0.000825332,0.000825332
53,1624.66,1.57874,0.91297,1.02379,0.72321,0.51926,0.55899,0.2667,1.68084,0.86804,1.08218,0.000808828,0.000808828,0.000808828
54,1655.13,1.5635,0.90009,1.01841,0.71649,0.50483,0.55475,0.26082,1.67347,0.87138,1.09176,0.000792325,0.000792325,0.000792325
55,1685.76,1.56265,0.8933,1.00986,0.70601,0.51904,0.55715,0.26151,1.70982,0.86466,1.08954,0.000775822,0.000775822,0.000775822
56,1716.21,1.54765,0.88818,1.00869,0.69892,0.51846,0.55763,0.26361,1.72908,0.88217,1.09862,0.000759318,0.000759318,0.000759318
