epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5403,1.21307,0.67031,0.92332,0.72788,0.54327,0.58239,0.27258,1.66691,0.87262,1.11899,0.000552379,0.000552379,0.000552379
2,58.2332,1.39191,0.77264,0.96504,0.75029,0.53096,0.57921,0.26549,1.75336,0.92148,1.10646,0.00109708,0.00109708,0.00109708
3,86.2688,1.46785,0.82716,0.98382,0.6845,0.51158,0.54464,0.24615,1.73202,0.93391,1.1261,0.00163077,0.00163077,0.00163077
4,114.89,1.50108,0.86636,0.99452,0.65336,0.51071,0.53534,0.2414,1.80733,1.00317,1.15826,0.00161749,0.00161749,0.00161749
5,142.74,1.52146,0.87673,1.002,0.69017,0.53283,0.55728,0.2559,1.68424,0.91959,1.11438,0.00160099,0.00160099,0.00160099
6,170.922,1.52379,0.87607,1.00653,0.7041,0.50528,0.54368,0.24547,1.78878,0.96752,1.13416,0.00158448,0.00158448,0.00158448
7,199.604,1.51126,0.86091,0.99838,0.71985,0.50664,0.55229,0.24919,1.70513,0.9732,1.09642,0.00156798,0.00156798,0.00156798
8,228.027,1.50316,0.86527,0.99979,0.6942,0.52338,0.55865,0.25378,1.79818,0.91015,1.12191,0.00155148,0.00155148,0.00155148
9,255.925,1.50886,0.86075,1.00084,0.72859,0.50665,0.56339,0.2628,1.68664,0.89752,1.12011,0.00153497,0.00153497,0.00153497
10,284.035,1.50298,0.85239,0.99618,0.68542,0.50501,0.54461,0.25063,1.78355,0.95058,1.12706,0.00151847,0.00151847,0.00151847
11,312.347,1.49431,0.85543,0.99407,0.72514,0.48603,0.52918,0.24052,1.74184,0.92367,1.13147,0.00150197,0.00150197,0.00150197
